product_name,link,product_images,price,details,category,gender
LONG GEOMETRIC PRINT SWIMMING TRUNKS,https://www.zara.com/in/en/long-geometric-print-swimming-trunks-p08574372.html,https://static.zara.net/photos///2023/I/0/2/p/8574/372/500/2/w/448/8574372500_6_1_1.jpg?ts=1688556252826,36.26,"Swimming trunks made of technical fabric with a velvety finish and an elasticated waistband. Featuring front pockets, a rear patch pocket, lining and front zip fly and snap-button fastening. Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 41 cm. / 16.1″View more",SWIMWEAR,men
SEERSUCKER SWIMMING TRUNKS,https://www.zara.com/in/en/seersucker-swimming-trunks-p08574332.html,https://static.zara.net/photos///2023/I/0/2/p/8574/332/404/2/w/448/8574332404_1_1_1.jpg?ts=1686064963056,36.26,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 11 cm. / 4.3″Length of outer leg seam: 36 cm. / 14.1″View more,SWIMWEAR,men
SEERSUCKER SWIMMING TRUNKS,https://www.zara.com/in/en/seersucker-swimming-trunks-p02634303.html,https://static.zara.net/photos///2023/I/0/2/p/2634/303/505/2/w/448/2634303505_1_1_1.jpg?ts=1686064961991,36.26,Swimming trunks made of a technical fabric. Elasticated waistband and adjustable drawstrings. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 36 cm. / 14.1″View more,SWIMWEAR,men
LONG SWIMMING TRUNKS,https://www.zara.com/in/en/long-swimming-trunks-p00775400.html,https://static.zara.net/photos///2023/I/0/2/p/0775/303/514/2/w/448/0775303514_6_1_1.jpg?ts=1689782190044,32.06,Swimming trunks made of a technical fabric. Elastic waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 18 cm. / 7.0″Length of outer leg seam: 42 cm. / 16.5″View more,SWIMWEAR,men
SEERSUCKER SWIMMING TRUNKS,https://www.zara.com/in/en/seersucker-swimming-trunks-p08574373.html,https://static.zara.net/photos///2023/I/0/2/p/8574/373/690/2/w/448/8574373690_6_1_1.jpg?ts=1689162981156,36.26,Swimming trunks made of a technical fabric. Elastic waistband and adjustable drawstring. Side pockets and a back patch pocket. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 36 cm. / 14.1″View more,SWIMWEAR,men
GEOMETRIC JACQUARD BEACH TOWEL,https://www.zara.com/in/en/geometric-jacquard-beach-towel-p01027301.html,https://static.zara.net/photos///2023/I/0/2/p/1027/301/183/2/w/448/1027301183_6_1_1.jpg?ts=1688483860332,36.26,Beach towel made of terry cotton.Measurements: 91 x 180 cm / 35.8 x 70.8″,SWIMWEAR,men
TECHNICAL CHECK TEXTURE SWIMMING TRUNKS,https://www.zara.com/in/en/technical-check-texture-swimming-trunks-p08574379.html,https://static.zara.net/photos///2023/I/0/2/p/8574/379/704/2/w/448/8574379704_1_1_1.jpg?ts=1689157208916,41.86,Swimming trunks made of technical fabric. Elasticated waistband. Side pockets and back patch pocket with flap. Lining.Length of inner leg seam: 12 cm. / 4.7″Length of outer leg seam: 34 cm. / 13.3″View more,SWIMWEAR,men
CHECKED TECHNICAL SWIMMING TRUNKS,https://www.zara.com/in/en/checked-technical-swimming-trunks-p08574387.html,https://static.zara.net/photos///2023/I/0/2/p/8574/387/712/2/w/448/8574387712_1_1_1.jpg?ts=1689157212496,36.26,Swimming trunks made of a technical fabric. Adjustable elasticated waistband with drawstring. Side pockets and back welt pocket. Lining.Length of inner leg seam: 7 cm. / 2.7″Length of outer leg seam: 29 cm. / 11.4″View more,SWIMWEAR,men
ACID WASH SWIMMING TRUNKS,https://www.zara.com/in/en/acid-wash-swimming-trunks-p02634309.html,https://static.zara.net/photos///2023/I/0/2/p/2634/309/802/2/w/448/2634309802_6_1_1.jpg?ts=1689162979852,36.26,Swimming trunks made of technical fabric. Adjustable elasticated drawstring waistband. Side pockets and back pocket detail. Lining. Side slits at the hems. Faded acid wash.Length of inner leg seam: 17 cm. / 6.6″Length of outer leg seam: 41 cm. / 16.1″View more,SWIMWEAR,men
LONG TIE-DYE SWIMMING TRUNKS,https://www.zara.com/in/en/long-tie-dye-swimming-trunks-p08574367.html,https://static.zara.net/photos///2023/I/0/2/p/8574/367/712/2/w/448/8574367712_6_1_1.jpg?ts=1689162979212,36.26,Swimming trunks made of technical fabric. Adjustable elasticated waistband. Front pockets and back zip pocket. Lining.Length of inner leg seam: 16 cm. / 6.2″Length of outer leg seam: 37 cm. / 14.5″View more,SWIMWEAR,men
